,used,model_id,bib_ref,authors,paper_title,paper_url,pub_date,code_url,task_list
0,TRUE,Bad15a,badino2015discovering,"Badino, L., Mereta, A. & Rosasco, L. ",Discovering discrete subword units with binarized autoencoders and hidden-Markov-model encoders,https://www.researchgate.net/profile/Leonardo-Badino/publication/281834458_Discovering_discrete_subword_units_with_Binarized_Autoencoders_and_Hidden-Markov-Model_Encoders/links/55fa662d08aeafc8ac38e6d4/Discovering-discrete-subword-units-with-Binarized-Autoencoders-and-Hidden-Markov-Model-Encoders.pdf,2015,-,ABX15
1,TRUE,Bad15b,badino2015discovering,"Badino, L., Mereta, A. & Rosasco, L. ",Discovering discrete subword units with binarized autoencoders and hidden-Markov-model encoders,https://www.researchgate.net/profile/Leonardo-Badino/publication/281834458_Discovering_discrete_subword_units_with_Binarized_Autoencoders_and_Hidden-Markov-Model_Encoders/links/55fa662d08aeafc8ac38e6d4/Discovering-discrete-subword-units-with-Binarized-Autoencoders-and-Hidden-Markov-Model-Encoders.pdf,2015,-,ABX15
2,TRUE,Bad15c,badino2015discovering,"Badino, L., Mereta, A. & Rosasco, L. ",Discovering discrete subword units with binarized autoencoders and hidden-Markov-model encoders,https://www.researchgate.net/profile/Leonardo-Badino/publication/281834458_Discovering_discrete_subword_units_with_Binarized_Autoencoders_and_Hidden-Markov-Model_Encoders/links/55fa662d08aeafc8ac38e6d4/Discovering-discrete-subword-units-with-Binarized-Autoencoders-and-Hidden-Markov-Model-Encoders.pdf,2015,-,ABX15
3,TRUE,Bal15a,baljekar2015using,"Baljekar, P., Sitaram, S., Muthukumar, P. & Black, A. ",Using articulatory features and inferred phonological segments in zero resource speech processing.,https://www.isca-speech.org/archive/pdfs/interspeech_2015/baljekar15_interspeech.pdf,2015,-,ABX15
4,TRUE,Bal15b,baljekar2015using,"Baljekar, P., Sitaram, S., Muthukumar, P. & Black, A. ",Using articulatory features and inferred phonological segments in zero resource speech processing.,https://www.isca-speech.org/archive/pdfs/interspeech_2015/baljekar15_interspeech.pdf,2015,-,ABX15
5,TRUE,Bal15c,baljekar2015using,"Baljekar, P., Sitaram, S., Muthukumar, P. & Black, A. ",Using articulatory features and inferred phonological segments in zero resource speech processing.,https://www.isca-speech.org/archive/pdfs/interspeech_2015/baljekar15_interspeech.pdf,2015,-,ABX15
6,TRUE,Bal15d,baljekar2015using,"Baljekar, P., Sitaram, S., Muthukumar, P. & Black, A. ",Using articulatory features and inferred phonological segments in zero resource speech processing.,https://www.isca-speech.org/archive/pdfs/interspeech_2015/baljekar15_interspeech.pdf,2015,-,ABX15
7,TRUE,Bal15e,baljekar2015using,"Baljekar, P., Sitaram, S., Muthukumar, P. & Black, A. ",Using articulatory features and inferred phonological segments in zero resource speech processing.,https://www.isca-speech.org/archive/pdfs/interspeech_2015/baljekar15_interspeech.pdf,2015,-,ABX15
8,TRUE,Che15a,chen2015parallel,"Chen, H., Leung, C., Xie, L., Ma, B. & Li, H. ",Parallel inference of dirichlet process gaussian mixture models for unsupervised acoustic modeling: A feasibility study.,http://lxie.npu-aslp.org/papers/2015Interspeech_CHJ.pdf,2015,-,ABX15
9,TRUE,Che15b,chen2015parallel,"Chen, H., Leung, C., Xie, L., Ma, B. & Li, H. ",Parallel inference of dirichlet process gaussian mixture models for unsupervised acoustic modeling: A feasibility study.,http://lxie.npu-aslp.org/papers/2015Interspeech_CHJ.pdf,2015,-,ABX15
